Date and Time,O'Connell St Outside Clerys,O'Connell St Outside Pennys,Grafton Street,Henry Street
01/01/2008 00:00,1429,1013,1560,467
01/01/2008 01:00,1044,1075,1546,349
01/01/2008 02:00,1272,1287,1841,261
01/01/2008 03:00,1364,1544,1744,286
01/01/2008 04:00,460,405,691,152
01/01/2008 05:00,191,87,185,76
01/01/2008 06:00,163,97,169,81
01/01/2008 07:00,248,178,207,115
01/01/2008 08:00,186,155,168,151
01/01/2008 09:00,400,310,357,223
01/01/2008 10:00,773,515,842,695
01/01/2008 11:00,1133,915,1682,1260
01/01/2008 12:00,1541,1312,2727,2286
01/01/2008 13:00,1713,1372,3506,2670
01/01/2008 14:00,1631,1829,4448,3175
01/01/2008 15:00,1908,2038,4937,3293
01/01/2008 16:00,2191,2203,5061,2904
01/01/2008 17:00,2252,2128,3867,2121
01/01/2008 18:00,1678,1719,2946,1427
01/01/2008 19:00,1430,1608,1605,877
01/01/2008 20:00,1452,1385,1195,661
01/01/2008 21:00,1044,1065,944,382
01/01/2008 22:00,955,938,971,248
01/01/2008 23:00,608,713,496,187
02/01/2008 00:00,439,232,331,136
02/01/2008 01:00,155,260,145,48
02/01/2008 02:00,93,167,122,66
02/01/2008 03:00,113,106,101,157
02/01/2008 04:00,49,68,126,69
02/01/2008 05:00,114,75,217,275
02/01/2008 06:00,402,257,497,407
02/01/2008 07:00,1096,712,1123,594
02/01/2008 08:00,1785,1161,2558,1581
02/01/2008 09:00,1424,1292,1859,2013
02/01/2008 10:00,1989,2116,2277,2688
02/01/2008 11:00,2640,3273,3832,5081
02/01/2008 12:00,3695,5039,7566,8013
02/01/2008 13:00,4420,6876,11998,11364
02/01/2008 14:00,4782,6914,11461,10846
02/01/2008 15:00,4322,7289,11152,11159
02/01/2008 16:00,4392,7506,11455,9940
02/01/2008 17:00,4401,6930,11454,7788
02/01/2008 18:00,3333,5423,6671,4873
02/01/2008 19:00,2013,3342,2709,2165
02/01/2008 20:00,1689,2223,1409,965
02/01/2008 21:00,965,1418,936,507
02/01/2008 22:00,1041,1118,930,352
02/01/2008 23:00,696,716,545,236
03/01/2008 00:00,313,238,359,107
03/01/2008 01:00,157,259,174,39
03/01/2008 02:00,134,164,160,102
03/01/2008 03:00,140,105,165,51
03/01/2008 04:00,69,37,136,109
03/01/2008 05:00,132,76,247,207
03/01/2008 06:00,530,289,523,427
03/01/2008 07:00,1127,630,1328,820
03/01/2008 08:00,1883,1075,3058,1295
03/01/2008 09:00,1633,1126,1860,1646
03/01/2008 10:00,2070,1948,2269,2892
03/01/2008 11:00,3145,2738,3525,4507
03/01/2008 12:00,6339,4551,6877,6730
03/01/2008 13:00,9289,5970,10452,9295
03/01/2008 14:00,3683,5191,8521,8195
03/01/2008 15:00,4631,6065,8631,8526
03/01/2008 16:00,4141,6947,10120,8234
03/01/2008 17:00,4486,7820,11116,7845
03/01/2008 18:00,3442,6455,8628,5122
03/01/2008 19:00,2159,4718,4962,2789
03/01/2008 20:00,1790,2713,2728,1804
03/01/2008 21:00,1263,1236,1347,850
03/01/2008 22:00,1164,867,919,421
03/01/2008 23:00,731,574,640,216
04/01/2008 00:00,344,337,391,124
04/01/2008 01:00,253,384,157,64
04/01/2008 02:00,173,292,219,31
04/01/2008 03:00,124,136,167,126
04/01/2008 04:00,54,39,170,79
04/01/2008 05:00,107,74,246,185
04/01/2008 06:00,453,251,562,401
04/01/2008 07:00,1040,586,1036,825
04/01/2008 08:00,1711,1168,3007,1541
04/01/2008 09:00,1620,1340,2266,2101
04/01/2008 10:00,2202,1831,2526,2691
04/01/2008 11:00,4580,2723,3266,4052
04/01/2008 12:00,7466,4603,6169,5410
04/01/2008 13:00,7153,5645,8563,7023
04/01/2008 14:00,4073,5058,6731,6368
04/01/2008 15:00,3307,6191,6868,6415
04/01/2008 16:00,3420,6434,8671,7033
04/01/2008 17:00,4392,7090,10668,7464
04/01/2008 18:00,2832,6220,6992,4842
04/01/2008 19:00,2001,4911,3292,2396
04/01/2008 20:00,1802,3066,1941,1138
04/01/2008 21:00,1068,1318,1431,599
04/01/2008 22:00,1213,961,1391,424
04/01/2008 23:00,804,627,1098,223
05/01/2008 00:00,391,325,760,151
05/01/2008 01:00,223,364,522,100
05/01/2008 02:00,261,313,384,74
05/01/2008 03:00,290,220,470,135
05/01/2008 04:00,64,51,203,48
05/01/2008 05:00,98,46,183,130
05/01/2008 06:00,236,104,334,265
05/01/2008 07:00,393,280,500,280
05/01/2008 08:00,456,459,827,687
05/01/2008 09:00,635,733,1107,1239
05/01/2008 10:00,1242,1920,2051,2765
05/01/2008 11:00,3684,3345,3976,4645
