Unnamed: 0,O'Connell Street at Clerys,Grafton St at Card Gallery,Grafton St at M&S,O'Connell Street at Easons,Henry Street at Butlers,Grafton St at Korkys
01/01/2010 00:00,852,1134,229,131,78,421
01/01/2010 01:00,736,1281,276,92,44,634
01/01/2010 02:00,1064,1839,944,74,28,995
01/01/2010 03:00,1646,2683,1219,106,49,979
01/01/2010 04:00,598,865,491,35,47,356
01/01/2010 05:00,317,363,553,25,121,176
01/01/2010 06:00,231,251,496,82,168,184
01/01/2010 07:00,176,161,386,202,292,128
01/01/2010 08:00,140,157,404,499,625,150
01/01/2010 09:00,272,199,766,628,812,211
01/01/2010 10:00,545,491,1325,1139,1024,1389
01/01/2010 11:00,809,996,2341,1356,1290,2246
01/01/2010 12:00,1117,2027,3809,1980,1771,2232
01/01/2010 13:00,1256,4224,3139,2412,2286,1995
01/01/2010 14:00,1175,3568,2607,2350,1970,2467
01/01/2010 15:00,1316,3879,5013,2414,1900,3033
01/01/2010 16:00,1478,4997,3057,2480,1974,2497
01/01/2010 17:00,1309,4464,1415,2303,1790,1581
01/01/2010 18:00,1195,2236,895,1577,1416,1010
01/01/2010 19:00,1166,1310,716,1067,1054,556
01/01/2010 20:00,713,1015,595,707,274,482
01/01/2010 21:00,688,748,533,513,168,482
01/01/2010 22:00,644,696,403,470,114,318
01/01/2010 23:00,362,412,95,337,73,189
02/01/2010 00:00,192,242,80,573,226,93
02/01/2010 01:00,107,204,68,397,156,69
02/01/2010 02:00,96,86,84,390,124,65
02/01/2010 03:00,67,73,57,512,187,55
02/01/2010 04:00,26,62,38,144,94,50
02/01/2010 05:00,32,136,375,56,199,79
02/01/2010 06:00,130,278,507,181,233,239
02/01/2010 07:00,248,338,397,260,292,258
02/01/2010 08:00,319,464,866,573,696,483
02/01/2010 09:00,528,720,2170,1051,1361,772
02/01/2010 10:00,998,1345,3500,3082,2687,2867
02/01/2010 11:00,2459,2633,5096,4538,3791,3665
02/01/2010 12:00,3445,4447,5591,5434,5595,4142
02/01/2010 13:00,3140,6505,4625,5399,6266,6241
02/01/2010 14:00,2410,8624,4577,6642,7029,6661
02/01/2010 15:00,2639,9962,4231,7533,7145,8653
02/01/2010 16:00,2536,11262,5413,7409,6704,6921
02/01/2010 17:00,2637,10986,4032,6229,6633,4165
02/01/2010 18:00,1907,5904,2434,5244,4462,2102
02/01/2010 19:00,1719,2845,1226,3327,2322,1081
02/01/2010 20:00,1232,1788,495,1728,1170,858
02/01/2010 21:00,956,1294,393,1371,842,655
02/01/2010 22:00,1045,1096,289,1860,789,489
02/01/2010 23:00,681,918,280,1129,396,420
03/01/2010 00:00,409,712,202,741,201,259
03/01/2010 01:00,226,610,248,674,152,185
03/01/2010 02:00,237,552,385,579,130,317
03/01/2010 03:00,295,684,534,477,156,289
03/01/2010 04:00,127,208,230,148,70,95
03/01/2010 05:00,58,78,137,55,54,32
03/01/2010 06:00,105,123,502,98,92,134
03/01/2010 07:00,116,214,614,94,96,106
03/01/2010 08:00,164,173,737,181,112,204
03/01/2010 09:00,178,368,1205,567,579,396
03/01/2010 10:00,469,822,2264,1337,1492,910
03/01/2010 11:00,980,1443,3589,1816,2132,1965
03/01/2010 12:00,1497,2932,5099,2585,3033,3407
03/01/2010 13:00,1943,4357,5447,3174,4264,3541
03/01/2010 14:00,1772,5690,4321,3861,4940,5095
03/01/2010 15:00,1848,7234,5761,3964,4065,6338
03/01/2010 16:00,1740,9095,5998,4318,4309,5271
03/01/2010 17:00,2227,8367,4577,3822,3989,3147
03/01/2010 18:00,1654,4588,2623,2637,2575,1387
03/01/2010 19:00,1383,1857,1197,1946,1347,721
03/01/2010 20:00,1109,1011,463,1389,795,651
03/01/2010 21:00,763,788,237,1006,448,385
03/01/2010 22:00,678,703,213,897,291,315
03/01/2010 23:00,403,503,136,555,175,243
04/01/2010 00:00,238,288,83,141,151,123
04/01/2010 01:00,134,278,78,78,75,110
04/01/2010 02:00,75,140,60,81,35,96
04/01/2010 03:00,38,94,43,97,52,126
04/01/2010 04:00,39,145,22,61,110,62
04/01/2010 05:00,83,144,155,30,269,228
04/01/2010 06:00,312,451,612,101,447,553
04/01/2010 07:00,822,889,719,191,612,1337
04/01/2010 08:00,1604,2076,3251,402,1183,2058
04/01/2010 09:00,1540,1726,4242,767,1199,1454
04/01/2010 10:00,2145,1808,3999,1388,3318,3130
04/01/2010 11:00,3410,2176,5208,1647,3822,5112
04/01/2010 12:00,5209,4340,7130,1669,4375,5841
04/01/2010 13:00,5714,8510,6801,2243,5422,7040
04/01/2010 14:00,2647,6656,6792,2583,4419,4820
04/01/2010 15:00,2343,6715,6675,2554,4177,5367
04/01/2010 16:00,2467,8109,6297,2453,3990,5622
04/01/2010 17:00,2779,10227,5058,2686,4193,4813
04/01/2010 18:00,2273,6089,3490,1668,3221,1990
04/01/2010 19:00,1576,2247,1494,1061,950,915
04/01/2010 20:00,909,1149,454,668,1010,526
04/01/2010 21:00,703,757,259,520,582,404
04/01/2010 22:00,751,706,201,408,399,427
04/01/2010 23:00,436,532,123,271,263,204
05/01/2010 00:00,200,301,95,102,184,137
05/01/2010 01:00,148,181,57,55,134,91
05/01/2010 02:00,70,187,89,82,122,169
05/01/2010 03:00,159,289,155,74,132,206
05/01/2010 04:00,63,243,36,51,181,123
05/01/2010 05:00,100,162,113,70,414,167
05/01/2010 06:00,318,530,388,125,521,574
05/01/2010 07:00,774,990,680,272,1045,1204
05/01/2010 08:00,958,2076,3115,737,2062,2212
05/01/2010 09:00,1087,1341,3941,847,2618,1385
05/01/2010 10:00,1306,1405,3867,1083,3388,2815
05/01/2010 11:00,1636,1973,5377,1494,4348,4051
05/01/2010 12:00,5111,4058,6902,1989,5494,4520
05/01/2010 13:00,4982,8139,4873,2586,6426,4283
05/01/2010 14:00,1951,5873,3750,2206,5691,4201
05/01/2010 15:00,2213,5967,7149,2441,5814,4668
05/01/2010 16:00,2512,6989,5975,2509,6539,4749
05/01/2010 17:00,3022,9922,5262,2524,6228,4763
05/01/2010 18:00,2407,6405,3635,1709,4467,2054
