Time,O'Connell St Outside Pennys,O'Connell St Outside Clerys,Mary Street,Capel Street,Aston Quay,Grafton Street @ CompuB,Talbot Street North,"Doilier Street, Burgh Quay",Dawson Street Replacement,Dame Street,Talbot Street South,"O'Connell St, Parnell St @ AIB",Grafton Street / Nassau Street / Suffolk Street,"College Green, Bank Of Ireland",Henry Street,Westmoreland Street East,Dawson Street,Liffey Street,Westmoreland Street West,Grafton Street,Bachelors Walk,College Green @ Church Lane,College Green - Dame St Side
01/07/2019 00:00:00,265,165,13,51,142,349,143,68,0,162,1448,134,38,232,121,83,22,101,319,330,50,112,69
01/07/2019 01:00:00,144,75,3,23,82,267,18,25,0,102,1877,67,24,136,54,55,11,59,169,226,23,50,31
01/07/2019 02:00:00,99,49,1,11,74,150,24,6,0,61,2398,38,21,109,38,46,6,34,135,171,49,39,12
01/07/2019 03:00:00,63,42,4,10,54,186,4,7,0,73,1821,33,15,122,35,70,6,26,101,165,21,29,9
01/07/2019 04:00:00,92,47,3,15,34,240,11,7,0,55,1133,58,15,129,49,42,3,16,114,171,8,16,18
01/07/2019 05:00:00,112,143,12,25,68,169,15,41,0,56,1125,83,33,94,127,51,14,25,255,82,82,48,52
01/07/2019 06:00:00,336,437,33,62,253,1315,75,270,0,356,1675,224,137,281,399,149,92,234,477,276,167,374,288
01/07/2019 07:00:00,589,883,41,98,449,2511,198,528,0,586,1932,371,260,500,822,296,278,477,744,618,341,600,744
01/07/2019 08:00:00,1246,1534,115,282,831,3269,301,1176,0,917,1881,428,541,1040,1605,713,516,1118,1506,1513,765,1228,1715
01/07/2019 09:00:00,1376,1297,104,253,715,2755,121,1076,0,791,735,729,502,881,1914,599,431,785,1249,1225,369,1037,1206
01/07/2019 10:00:00,1650,1313,114,306,736,2294,115,758,0,750,583,877,457,753,2341,584,382,920,886,1283,275,1031,956
01/07/2019 11:00:00,2030,1435,254,321,649,2676,181,769,0,921,635,1070,550,1129,3034,763,480,1144,1249,1893,395,1146,977
01/07/2019 12:00:00,2047,1660,363,556,712,3332,209,890,0,1200,1004,1343,791,1341,4128,860,928,1603,1400,2767,472,1313,1231
01/07/2019 13:00:00,2839,1873,583,651,1024,3751,189,1168,0,1618,1239,1499,1043,1690,5218,958,1079,2040,1777,3669,958,1652,1543
01/07/2019 14:00:00,2955,1642,398,319,1055,3223,166,937,0,1491,820,1263,978,1741,4803,871,767,2205,1640,2918,991,1645,1197
01/07/2019 15:00:00,2999,1723,316,348,1019,3667,162,1281,0,1777,720,1282,991,1810,4858,941,755,1927,1623,2786,717,1525,1286
01/07/2019 16:00:00,2939,1950,317,478,1267,3772,262,1682,0,1623,1035,1490,1176,1922,4770,1225,894,1749,1539,2853,774,1679,1548
01/07/2019 17:00:00,3215,2130,303,540,1606,3941,155,1238,0,1642,1482,1698,1423,2087,4803,1345,1138,1776,1471,2916,762,1888,2219
01/07/2019 18:00:00,2537,1786,243,515,1274,3741,33,821,0,1359,1614,1574,1012,1880,4127,986,841,1458,1507,2307,784,1533,1712
