Time,O'Connell St Outside Pennys,O'Connell St Outside Clerys,Mary Street,Capel Street,Aston Quay,Grafton Street @ CompuB,Talbot Street North,"Doilier Street, Burgh Quay",Dawson Street Replacement,Dame Street,Talbot Street South,"O'Connell St, Parnell St @ AIB",Grafton Street / Nassau Street / Suffolk Street,"College Green, Bank Of Ireland",Henry Street,Westmoreland Street East,Dawson Street,Liffey Street,Westmoreland Street West,Grafton Street,Bachelors Walk,College Green @ Church Lane,College Green - Dame St Side
01/01/2019 00:00,1504,1914,163,238,0,0,0,0,0,0,0,0,0,0,597,1670,255,881,1988,140,0,0,0
01/01/2019 01:00,1187,885,102,173,0,0,0,0,0,0,0,0,0,0,359,767,209,723,1270,215,0,0,0
01/01/2019 02:00,1233,984,63,121,0,0,0,0,0,0,0,0,0,0,317,642,193,1010,1589,210,0,0,0
01/01/2019 03:00,1316,935,59,174,0,0,0,0,0,0,0,0,0,0,313,582,178,772,1534,204,0,0,0
01/01/2019 04:00,802,390,46,82,0,0,0,0,0,0,0,0,0,0,172,143,35,197,610,88,0,0,0
01/01/2019 05:00,292,136,19,34,0,0,0,0,0,0,0,0,0,0,97,71,8,51,203,15,0,0,0
01/01/2019 06:00,218,146,24,39,0,0,0,0,0,0,0,0,0,0,67,72,3,56,130,30,0,0,0
01/01/2019 07:00,195,139,27,26,0,0,0,0,0,0,0,0,0,0,80,50,11,66,126,44,0,0,0
01/01/2019 08:00,230,218,25,20,0,0,0,0,0,0,0,0,0,0,124,121,38,87,109,39,0,0,0
01/01/2019 09:00,387,382,47,41,0,0,0,0,0,0,0,0,0,0,311,173,55,93,218,93,0,0,0
01/01/2019 10:00,669,562,89,86,0,0,0,0,0,0,0,0,0,0,607,338,98,184,369,168,0,0,0
01/01/2019 11:00,1044,735,170,143,0,0,0,0,0,0,0,0,0,0,1158,358,181,364,498,433,0,0,0
01/01/2019 12:00,1521,875,369,255,0,0,0,0,0,0,0,0,0,0,1649,512,280,540,804,549,0,0,0
01/01/2019 13:00,1777,846,416,310,0,0,0,0,0,0,0,0,0,0,1773,446,380,687,909,762,0,0,0
01/01/2019 14:00,1741,994,462,300,0,0,0,0,0,0,0,0,0,0,2051,578,374,896,860,822,0,0,0
01/01/2019 15:00,2027,1078,549,376,0,0,0,0,0,0,0,0,0,0,2435,654,376,1026,975,871,0,0,0
01/01/2019 16:00,2090,1207,535,353,0,0,0,0,0,0,0,0,0,0,2471,674,383,862,1184,923,0,0,0
01/01/2019 17:00,1938,1150,474,353,0,0,0,0,0,0,0,0,0,0,1943,648,274,830,1098,722,0,0,0
01/01/2019 18:00,1613,1090,344,291,0,0,0,0,0,0,0,0,0,0,1447,749,258,689,1021,322,0,0,0
01/01/2019 19:00,1124,1063,274,230,0,0,0,0,0,0,0,0,0,0,819,638,215,599,922,180,0,0,0
01/01/2019 20:00,933,779,177,235,0,0,0,0,0,0,0,0,0,0,586,565,172,481,781,135,0,0,0
01/01/2019 21:00,731,669,137,138,0,0,0,0,0,0,0,0,0,0,380,505,87,250,529,127,0,0,0
01/01/2019 22:00,631,574,75,96,0,0,0,0,0,0,0,0,0,0,255,563,92,236,529,121,0,0,0
01/01/2019 23:00,432,343,70,64,0,0,0,0,0,0,0,0,0,0,160,343,47,170,417,80,0,0,0
02/01/2019 00:00,224,204,22,26,0,0,0,0,0,0,0,0,0,0,62,161,16,94,170,51,0,0,0
02/01/2019 01:00,145,70,14,23,0,0,0,0,0,0,0,0,0,0,47,33,11,44,93,16,0,0,0
02/01/2019 02:00,88,51,11,7,0,0,0,0,0,0,0,0,0,0,28,18,6,9,91,19,0,0,0
02/01/2019 03:00,64,22,4,4,0,0,0,0,0,0,0,0,0,0,13,32,5,10,49,28,0,0,0
02/01/2019 04:00,76,53,8,6,0,0,0,0,0,0,0,0,0,0,35,59,6,4,37,15,0,0,0
02/01/2019 05:00,100,68,17,7,0,0,0,0,0,0,0,0,0,0,81,37,9,13,52,20,0,0,0
02/01/2019 06:00,285,323,52,25,0,0,0,0,0,0,0,0,0,0,235,147,91,81,299,88,0,0,0
02/01/2019 07:00,601,714,94,73,0,0,0,0,0,0,0,0,0,0,554,350,227,183,493,283,0,0,0
02/01/2019 08:00,1189,1069,244,173,0,0,0,0,0,0,0,0,0,0,1150,614,416,418,890,597,0,0,0
02/01/2019 09:00,1291,973,285,167,0,0,0,0,0,0,0,0,0,0,1551,588,329,359,640,572,0,0,0
02/01/2019 10:00,1867,1252,337,227,0,0,0,0,0,0,0,0,0,0,2387,627,313,730,871,656,0,0,0
02/01/2019 11:00,2541,1476,629,284,0,0,0,0,0,0,0,0,0,0,3340,725,483,1083,1072,859,0,0,0
02/01/2019 12:00,3250,1811,482,410,0,0,0,0,0,0,0,0,0,0,4145,865,842,1499,1263,1344,0,0,0
02/01/2019 13:00,3925,1946,1103,661,0,0,0,0,0,0,0,0,0,0,5134,977,1178,1725,1604,1519,0,0,0
02/01/2019 14:00,3801,1894,981,567,0,0,0,0,0,0,0,0,0,0,4658,958,895,1825,1397,1360,0,0,0
02/01/2019 15:00,3758,1757,1043,552,0,0,0,0,0,0,0,0,0,0,4604,1011,859,1739,1665,1432,0,0,0
02/01/2019 16:00,3953,2032,978,528,0,0,0,0,0,0,0,0,0,0,4820,1246,947,1637,1543,1517,0,0,0
02/01/2019 17:00,3802,1911,986,505,0,0,0,0,0,0,0,0,0,0,4393,1324,1050,1712,1465,1434,0,0,0
02/01/2019 18:00,2906,1617,855,507,0,0,0,0,0,0,0,0,0,0,3114,1022,623,1280,1397,219,0,0,0
02/01/2019 19:00,1837,1109,474,377,0,0,0,0,0,0,0,0,0,0,1974,791,357,828,1144,151,0,0,0
02/01/2019 20:00,1294,1027,243,261,0,0,0,0,0,0,0,0,0,0,996,479,258,531,1131,95,0,0,0
02/01/2019 21:00,928,679,132,168,0,0,0,0,0,0,0,0,0,0,549,420,176,382,651,74,0,0,0
02/01/2019 22:00,814,601,47,128,0,0,0,0,0,0,0,0,0,0,322,420,146,293,629,65,0,0,0
02/01/2019 23:00,489,370,86,102,0,0,0,0,0,0,0,0,0,0,196,280,76,231,467,90,0,0,0
03/01/2019 00:00,227,159,30,61,0,0,0,0,0,0,0,0,0,0,105,126,31,130,220,75,0,0,0
03/01/2019 01:00,127,80,10,14,0,0,0,0,0,0,0,0,0,0,30,72,16,58,140,40,0,0,0
03/01/2019 02:00,101,64,5,14,0,0,0,0,0,0,0,0,0,0,37,70,13,42,124,40,0,0,0
03/01/2019 03:00,94,46,7,7,0,0,0,0,0,0,0,0,0,0,17,30,12,25,84,55,0,0,0
03/01/2019 04:00,95,38,7,2,0,0,0,0,0,0,0,0,0,0,72,37,4,5,86,30,0,0,0
03/01/2019 05:00,113,88,16,7,0,0,0,0,0,0,0,0,0,0,87,63,6,17,49,16,0,0,0
03/01/2019 06:00,275,368,65,43,0,0,0,0,0,0,0,0,0,0,215,214,66,70,216,88,0,0,0
03/01/2019 07:00,631,771,112,69,0,0,0,0,0,0,0,0,0,0,518,458,191,255,535,271,0,0,0
03/01/2019 08:00,1324,1154,214,187,0,0,0,0,0,0,0,0,0,0,1054,804,476,555,1085,567,0,0,0
03/01/2019 09:00,1300,1080,254,218,0,0,0,0,0,0,0,0,0,0,1445,550,372,549,752,580,0,0,0
03/01/2019 10:00,1964,1269,387,240,0,0,0,0,0,0,0,0,0,0,2381,551,338,850,819,728,0,0,0
03/01/2019 11:00,2450,1437,540,310,0,0,0,0,0,0,0,0,0,0,3196,725,466,1107,1158,803,0,0,0
03/01/2019 12:00,3252,1716,820,400,0,0,0,0,0,0,0,0,0,0,4208,832,742,1606,1484,1110,0,0,0
03/01/2019 13:00,3984,1975,1027,552,0,0,0,0,0,0,0,0,0,0,4790,1057,944,1842,1508,1405,0,0,0
03/01/2019 14:00,3727,1837,912,469,0,0,0,0,0,0,0,0,0,0,4613,936,711,1743,1356,1020,0,0,0
03/01/2019 15:00,3732,1861,981,546,0,0,0,0,0,0,0,0,0,0,4574,1036,723,2154,1200,1225,0,0,0
03/01/2019 16:00,1796,2039,898,467,0,0,0,0,0,0,0,0,0,0,4427,1273,770,1864,1674,1196,0,0,0
03/01/2019 17:00,2729,2061,936,562,0,0,0,0,0,0,0,0,0,0,4339,1356,1014,1909,1583,1255,0,0,0
03/01/2019 18:00,2985,1645,791,470,0,0,0,0,0,0,0,0,0,0,3344,1110,742,1585,1446,915,0,0,0
03/01/2019 19:00,2160,1316,544,381,0,0,0,0,0,0,0,0,0,0,2388,897,471,1132,1232,626,0,0,0
03/01/2019 20:00,1521,994,366,260,0,0,0,0,0,0,0,0,0,0,1282,566,304,794,983,35,0,0,0
03/01/2019 21:00,1110,772,173,168,0,0,0,0,0,0,0,0,0,0,667,463,205,479,800,0,0,0,0
03/01/2019 22:00,854,766,109,145,0,0,0,0,0,0,0,0,0,0,363,360,163,281,808,0,0,0,0
03/01/2019 23:00,562,416,68,90,0,0,0,0,0,0,0,0,0,0,217,258,115,285,435,0,0,0,0
04/01/2019 00:00,297,219,49,48,0,0,0,0,0,0,0,0,0,0,115,151,41,117,319,46,0,0,0
04/01/2019 01:00,193,98,22,26,0,0,0,0,0,0,0,0,0,0,54,132,10,85,203,47,0,0,0
04/01/2019 02:00,127,109,15,20,0,0,0,0,0,0,0,0,0,0,43,136,8,30,169,15,0,0,0
04/01/2019 03:00,124,68,7,13,0,0,0,0,0,0,0,0,0,0,25,54,3,29,98,36,0,0,0
04/01/2019 04:00,109,64,10,6,0,0,0,0,0,0,0,0,0,0,50,42,4,4,87,27,0,0,0
04/01/2019 05:00,115,80,24,9,0,0,0,0,0,0,0,0,0,0,83,43,14,23,201,20,0,0,0
04/01/2019 06:00,322,391,67,33,0,0,0,0,0,0,0,0,0,0,249,123,54,75,250,100,0,0,0
04/01/2019 07:00,581,721,106,66,0,0,0,0,0,0,0,0,0,0,489,331,179,275,556,249,0,0,0
04/01/2019 08:00,1257,1182,176,169,0,0,0,0,0,0,0,0,0,0,1103,704,479,542,1111,678,0,0,0
04/01/2019 09:00,1329,1061,194,173,0,0,0,0,0,0,0,0,0,0,1401,604,361,552,705,655,0,0,0
04/01/2019 10:00,1867,1286,343,231,0,0,0,0,0,0,0,0,0,0,2220,764,368,756,801,825,0,0,0
04/01/2019 11:00,2521,1429,504,241,0,0,0,0,0,0,0,0,0,0,2944,749,517,1113,1147,825,0,0,0
04/01/2019 12:00,3206,1709,741,413,0,0,0,0,0,0,0,0,0,0,3641,926,850,1480,1499,1181,0,0,0
04/01/2019 13:00,3867,2107,1018,602,0,0,0,0,0,0,0,0,0,0,4527,1024,1059,1918,1474,1330,0,0,0
04/01/2019 14:00,3682,1952,952,536,0,0,0,0,0,0,0,0,0,0,4188,942,839,1808,1464,1238,0,0,0
04/01/2019 15:00,3059,1844,945,472,0,0,0,0,0,0,0,0,0,0,4162,1192,816,1741,1634,1180,0,0,0
04/01/2019 16:00,3735,2080,957,456,0,0,0,0,0,0,0,0,0,0,4734,1279,947,1806,1851,1201,0,0,0
04/01/2019 17:00,3725,1927,992,520,0,0,0,0,0,0,0,0,0,0,4264,1351,1108,1690,1794,1301,0,0,0
04/01/2019 18:00,2900,1576,777,491,0,0,0,0,0,0,0,0,0,0,3178,1041,746,1415,1504,670,0,0,0
04/01/2019 19:00,1573,1276,491,415,0,0,0,0,0,0,0,0,0,0,1726,825,455,949,1337,160,0,0,0
04/01/2019 20:00,1471,1054,282,293,0,0,0,0,0,0,0,0,0,0,1022,584,408,655,963,99,0,0,0
04/01/2019 21:00,946,859,196,226,0,0,0,0,0,0,0,0,0,0,609,476,294,473,889,76,0,0,0
04/01/2019 22:00,824,761,180,177,0,0,0,0,0,0,0,0,0,0,390,499,241,373,723,79,0,0,0
04/01/2019 23:00,691,542,84,123,0,0,0,0,0,0,0,0,0,0,209,545,234,308,629,148,0,0,0
05/01/2019 00:00,386,323,53,63,0,0,0,0,0,0,0,0,0,0,138,282,116,233,392,164,0,0,0
05/01/2019 01:00,307,205,24,49,0,0,0,0,0,0,0,0,0,0,70,309,57,166,374,89,0,0,0
05/01/2019 02:00,249,210,12,32,0,0,0,0,0,0,0,0,0,0,50,175,28,104,308,100,0,0,0
05/01/2019 03:00,240,127,8,26,0,0,0,0,0,0,0,0,0,0,48,153,28,61,289,80,0,0,0
05/01/2019 04:00,104,85,22,12,0,0,0,0,0,0,0,0,0,0,36,71,7,17,87,38,0,0,0
05/01/2019 05:00,88,56,10,12,0,0,0,0,0,0,0,0,0,0,39,62,3,31,90,24,0,0,0
05/01/2019 06:00,224,162,37,27,0,0,0,0,0,0,0,0,0,0,117,79,20,58,151,59,0,0,0
05/01/2019 07:00,293,281,55,55,0,0,0,0,0,0,0,0,0,0,212,153,40,100,251,85,0,0,0
05/01/2019 08:00,594,370,90,57,0,0,0,0,0,0,0,0,0,0,472,195,92,270,304,148,0,0,0
05/01/2019 09:00,1034,658,169,121,0,0,0,0,0,0,0,0,0,0,1144,347,149,354,610,229,0,0,0
05/01/2019 10:00,1605,994,384,211,0,0,0,0,0,0,0,0,0,0,1909,391,249,713,825,508,0,0,0
05/01/2019 11:00,2318,1150,589,340,0,0,0,0,0,0,0,0,0,0,2739,492,392,978,1176,719,0,0,0
05/01/2019 12:00,3015,1383,780,474,0,0,0,0,0,0,0,0,0,0,3253,684,594,1428,1370,1136,0,0,0
05/01/2019 13:00,3365,1592,998,505,0,0,0,0,0,0,0,0,0,0,3989,779,694,1697,1566,981,0,0,0
05/01/2019 14:00,3708,1711,1041,549,0,0,0,0,0,0,0,0,0,0,4397,857,792,2030,1622,1178,0,0,0
05/01/2019 15:00,3647,1620,1087,617,0,0,0,0,0,0,0,0,0,0,4708,875,906,2205,1564,1353,0,0,0
05/01/2019 16:00,3562,1649,1026,562,0,0,0,0,0,0,0,0,0,0,4475,995,758,1974,1602,1372,0,0,0
05/01/2019 17:00,3080,1632,913,544,0,0,0,0,0,0,0,0,0,0,3834,883,703,1675,1577,1059,0,0,0
05/01/2019 18:00,2497,1405,714,456,0,0,0,0,0,0,0,0,0,0,2783,684,536,1352,1558,488,0,0,0
05/01/2019 19:00,2011,1242,532,455,0,0,0,0,0,0,0,0,0,0,1825,718,448,969,1370,127,0,0,0
05/01/2019 20:00,1233,1032,291,280,0,0,0,0,0,0,0,0,0,0,894,553,350,710,1148,116,0,0,0
05/01/2019 21:00,960,783,189,199,0,0,0,0,0,0,0,0,0,0,558,501,326,522,944,70,0,0,0
05/01/2019 22:00,859,710,149,191,0,0,0,0,0,0,0,0,0,0,394,600,237,505,835,105,0,0,0
05/01/2019 23:00,757,579,87,105,0,0,0,0,0,0,0,0,0,0,262,367,239,464,744,151,0,0,0
06/01/2019 00:00,426,351,62,87,0,0,0,0,0,0,0,0,0,0,154,412,170,487,473,89,0,0,0
06/01/2019 01:00,384,218,37,59,0,0,0,0,0,0,0,0,0,0,92,178,66,333,401,111,0,0,0
06/01/2019 02:00,340,237,27,36,0,0,0,0,0,0,0,0,0,0,94,131,35,329,343,65,0,0,0
06/01/2019 03:00,341,170,26,32,0,0,0,0,0,0,0,0,0,0,66,113,51,245,478,67,0,0,0
06/01/2019 04:00,174,80,23,30,0,0,0,0,0,0,0,0,0,0,47,72,19,102,162,42,0,0,0
06/01/2019 05:00,113,50,11,12,0,0,0,0,0,0,0,0,0,0,34,32,5,14,112,21,0,0,0
06/01/2019 06:00,168,100,27,16,0,0,0,0,0,0,0,0,0,0,76,33,12,50,104,26,0,0,0
06/01/2019 07:00,156,140,26,25,0,0,0,0,0,0,0,0,0,0,89,55,25,48,99,17,0,0,0
06/01/2019 08:00,261,209,43,38,0,0,0,0,0,0,0,0,0,0,208,71,48,128,183,36,0,0,0
06/01/2019 09:00,470,381,81,72,0,0,0,0,0,0,0,0,0,0,417,163,79,458,330,75,0,0,0
06/01/2019 10:00,842,603,188,149,0,0,0,0,0,0,0,0,0,0,1031,238,160,411,457,198,0,0,0
06/01/2019 11:00,1353,907,450,232,0,0,0,0,0,0,0,0,0,0,1870,426,240,607,812,448,0,0,0
06/01/2019 12:00,2099,1040,644,293,0,0,0,0,0,0,0,0,0,0,2854,452,416,879,771,700,0,0,0
06/01/2019 13:00,704,1119,816,469,0,0,0,0,0,0,0,0,0,0,3379,565,506,1184,923,852,0,0,0
06/01/2019 14:00,2520,1207,840,542,0,0,0,0,0,0,0,0,0,0,3577,621,523,1461,1064,960,0,0,0
06/01/2019 15:00,2777,1356,907,528,0,0,0,0,0,0,0,0,0,0,3625,571,634,1552,1240,1149,0,0,0
06/01/2019 16:00,3062,1279,890,487,0,0,0,0,0,0,0,0,0,0,3586,634,597,1608,1171,1062,0,0,0
06/01/2019 17:00,2565,1329,713,455,0,0,0,0,0,0,0,0,0,0,2823,673,513,1219,1027,775,0,0,0
06/01/2019 18:00,1911,1069,596,414,0,0,0,0,0,0,0,0,0,0,2004,536,349,1024,978,468,0,0,0
06/01/2019 19:00,1304,994,349,268,0,0,0,0,0,0,0,0,0,0,1044,415,248,975,727,114,0,0,0
06/01/2019 20:00,928,698,189,197,0,0,0,0,0,0,0,0,0,0,528,381,153,589,652,77,0,0,0
06/01/2019 21:00,736,489,123,174,0,0,0,0,0,0,0,0,0,0,317,236,111,478,581,59,0,0,0
06/01/2019 22:00,607,488,68,101,0,0,0,0,0,0,0,0,0,0,221,249,83,400,440,53,0,0,0
06/01/2019 23:00,376,255,53,64,0,0,0,0,0,0,0,0,0,0,137,234,54,247,310,86,0,0,0
07/01/2019 00:00,240,139,30,51,0,0,0,0,0,0,0,0,0,0,95,164,23,123,211,37,0,0,0
07/01/2019 01:00,142,81,7,18,0,0,0,0,0,0,0,0,0,0,34,39,24,68,107,22,0,0,0
07/01/2019 02:00,97,65,9,17,0,0,0,0,0,0,0,0,0,0,21,42,11,19,53,22,0,0,0
07/01/2019 03:00,58,42,11,9,0,0,0,0,0,0,0,0,0,0,30,22,4,6,57,21,0,0,0
07/01/2019 04:00,95,43,8,8,0,0,0,0,0,0,0,0,0,0,65,28,6,3,41,39,0,0,0
07/01/2019 05:00,130,76,18,10,0,0,0,0,0,0,0,0,0,0,105,31,17,14,62,16,0,0,0
07/01/2019 06:00,307,385,57,41,0,0,0,0,0,0,0,0,0,0,246,168,86,174,214,69,0,0,0
07/01/2019 07:00,671,832,107,88,0,0,0,0,0,0,0,0,0,0,605,367,261,494,470,207,0,0,0
07/01/2019 08:00,1516,1394,264,241,0,0,0,0,0,0,0,0,0,0,1330,764,586,950,1118,499,0,0,0
