"Hourly By Entrance - Week 52, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,309,0,428,0,331,0,92,0,65,0,280,0,326,0
01:00,226,0,194,0,185,0,84,0,26,0,152,0,238,0
02:00,184,0,273,0,135,0,73,0,34,0,212,0,171,0
03:00,91,0,172,0,175,0,68,0,40,0,371,0,371,0
04:00,68,0,78,0,77,0,19,0,14,0,159,0,103,0
05:00,146,0,102,0,103,0,45,0,37,0,101,0,50,0
06:00,442,0,428,0,303,0,53,0,102,0,194,0,132,0
07:00,1252,0,930,0,586,0,110,0,172,0,383,0,157,0
08:00,1915,0,1601,0,969,0,29,0,93,0,570,0,216,0
09:00,2008,0,1475,0,1261,0,93,0,254,0,923,0,591,0
10:00,2406,0,2031,0,1976,0,264,0,401,0,1684,0,1172,0
11:00,6833,0,2736,0,2585,0,228,0,640,0,4132,0,1965,0
12:00,12399,0,3470,0,3340,0,313,0,951,0,7424,0,3898,0
13:00,10259,0,4177,0,4134,0,350,0,1377,0,4794,0,4022,0
14:00,3018,0,4343,0,3341,0,411,0,1055,0,2618,0,1776,0
15:00,3869,0,4130,0,3320,0,411,0,1369,0,3172,0,2163,0
16:00,4857,0,5181,0,3113,0,523,0,1342,0,3280,0,2459,0
17:00,5825,0,5391,0,2559,0,494,0,1386,0,3367,0,2924,0
18:00,4544,0,3956,0,1499,0,471,0,1073,0,2572,0,2153,0
19:00,2747,0,2517,0,914,0,599,0,962,0,1925,0,1613,0
20:00,2007,0,1964,0,670,0,303,0,796,0,1359,0,1312,0
21:00,1273,0,1302,0,512,0,174,0,706,0,1021,0,928,0
22:00,858,0,849,0,304,0,121,0,571,0,1025,0,863,0
23:00,911,0,827,0,218,0,105,0,526,0,718,0,592,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,833,0,1914,0,1939,0,122,0,75,0,271,0,1010,0
01:00,608,0,847,0,1046,0,94,0,60,0,159,0,654,0
02:00,282,0,672,0,861,0,38,0,31,0,369,0,614,0
03:00,249,0,658,0,1122,0,54,0,6,0,635,0,873,0
04:00,300,0,366,0,429,0,32,0,18,0,369,0,257,0
05:00,324,0,356,0,377,0,51,0,37,0,288,0,83,0
06:00,771,0,580,0,765,0,147,0,125,0,639,0,198,0
07:00,1681,0,987,0,1528,0,56,0,153,0,735,0,245,0
08:00,3414,0,1750,0,2924,0,75,0,104,0,1338,0,359,0
09:00,3186,0,3943,0,5175,0,131,0,269,0,2141,0,581,0
10:00,3886,0,5794,0,10116,0,224,0,545,0,4426,0,1224,0
11:00,7613,0,8475,0,12293,0,444,0,1057,0,7229,0,2595,0
12:00,11276,0,11637,0,12380,0,720,0,1613,0,9753,0,4964,0
13:00,12432,0,12976,0,12595,0,547,0,3369,0,10897,0,8623,0
14:00,12028,0,12768,0,11988,0,545,0,3395,0,11478,0,8827,0
15:00,12225,0,12511,0,12994,0,687,0,2876,0,11458,0,10369,0
16:00,14047,0,14141,0,13530,0,991,0,3416,0,12571,0,12229,0
17:00,14235,0,14247,0,11299,0,1139,0,2581,0,12066,0,11530,0
18:00,13799,0,13645,0,5399,0,827,0,1632,0,7436,0,6389,0
19:00,11041,0,11127,0,2468,0,731,0,1637,0,3825,0,2705,0
20:00,7768,0,7972,0,1215,0,459,0,1004,0,2093,0,1833,0
21:00,3639,0,4222,0,983,0,389,0,823,0,1588,0,1372,0
22:00,2362,0,2481,0,540,0,219,0,744,0,1505,0,997,0
23:00,2420,0,2111,0,186,0,140,0,612,0,1311,0,950,0
